ni infinitive
na nominative-case
ka accusative-case
ta topic-case
ca hello
kcah hungry
ti genitive-case
ci adjective
wa and
mi me
sa you
nyah us
ya it
ma destination-case
yi dative-case
li realis-mood
tu deontic-mood
cu conditional-mood
si epistemic-mood
yu instrumental-case
nu interior-context
pa person-context
tyah independent-clause
la dependent-clause
fa perfective-aspect
ki past-tense
pi masculine-gender
mwah comitative-case
ra present-tense
pwah benefactive-case
swih essive-case
no negatory-quantifier
po surface-context
da adpositional-case
te location-case
to space-context
ne way-case
ri interrogative-mood
nwah and-or
ku exclusive-or
syuh source-case
pwih ablative-case
ksah proximity
tsah demonstrative
ko clause-tail
pyah but
wi universal-quantifier
ji feminine-gender
pu plural-number
bi future-tense
so social-context
me imperfective-aspect
klah there
twah elative-case
twih illative-case
di directive-mood
tlah elective-quantifier
kyah what
tcah question-word
cyah copula
psah person
clah other
do number
tlih assertive-quantifier
se time-context
myah temporal-case
tyuh only
tcih hortative-mood
tyih retrospective-aspect
lo volitive-mood
cwah after
nlah alienable-possession
nlih inalienable-possession
cyih deliberative-mood
lwah perlative-case
pfih progressive-aspect
tsih here
ce under-context
pcah also
lwih delative-case
swah semelfactive-aspect
slah world
nyih neo
fu focus
plah love
pluh paucal-number
kyih because
ksih causal-case
gi name
tfah proper-noun
crih visible-evidential
kceh better
dwih desiderative-mood
co word
ga until
tweh terminative-case
nwih inessive-case
pcih imperative-mood
crah believe
ro state-context
cwih hope
kwih factive-evidential
fi return
prih letter
psih optative-mood
tseh potential-mood
lweh allative-case
nrih anthropic-gender
tceh same-subject-marker
re different-subject
croh fear
mrah understand
cyuh doubt
twuh dubitative-mood
myih beautiful
lyih interest
flah counterfactual-conditional
we vialis-case
clih cold
pyih peace
su except
kwah desire
le length
ba probability
mlah trouble
syah smile
slih sleep
zi quoted
twoh quotative-case
mo inclusive-person
kcih please
rwih precative-mood
mrih polite-register
rwah prospective-aspect
cyeh wonder
go gnomic-aspect
tsoh respect
za inchoative-aspect
jwih jussive-mood
mwih permissive-mood
sloh success
plih private
de distributive-case
tcoh pain
ryah laugh
mlih wise
ye possessive-marker
ke commissive-mood
creh vain
mweh completive-aspect
nrah warm
nroh anger
bwah spite
trah pride
mroh moral
srah health
syih social
ja cessative-aspect
krih curious
tfih intensifier
fe finally
prah aside
trih evidential
dwah evidential-case
srih sad
zo zoic-gender
nweh eventive-mood
cwoh same-event-marker
tloh multiplicative-case
jwah desired
kcoh tired
drah satisfied
pe speculative-mood
frih familiar-register
frah wounded
mruh fool
djih sympathy
krah thank
cruh shame
fyah phrase-marker
kruh bitter
tyeh text
kreh cruel
tleh hesternal-tense
kfah sacrifice
dyih hate
cloh rational-gender
nloh enjoy
zrah despair
sleh vegetal-gender
nruh innocent
drih admiration
sroh pardon
nreh eternal
brih base
kluh confusion
bwih benedictive-mood
klih guilty
grih ignorant
nyeh initiative-case
nleh humble
dlih delayed-imperative
proh reported-evidential
mloh melancholy
du singular
jrih patience
freh referential
kloh lonely
kroh charm
tcuh enthusiasm
kcuh inductive-mood
yo discourse-context
wo vocative-case
gwah nervous
pseh aspect
ge agent
mu admonitive-mood
byah ambition
pcoh crowded
treh direct-evidential
pceh apprehensive-mood
cwuh shock
cleh recent-past-tense
dlah definite-article
cluh ugly
myuh humour
dyah distal-demonstrative
rwuh jealous
troh imprecative-mood
dzih indifference
swuh assumptive-mood
bzah jest
gwih namely
dloh hodiernal-tense
dweh delimitative-aspect
kweh exclusive-person
truh temperature
tfeh telic-aspect
lyeh atelic-aspect
ryih prohibitive-mood
kfih childish
cyoh suspicious
nluh loyalty
cweh trap
nwoh animated
ryoh rational
mwuh amuse
sruh thrill
ksoh sexual
lyah lazy
mreh momentane-aspect
kyeh regretted
bjih former-deceased
pcuh uncertainty
be habitual-aspect
blih bounded
tsuh trivial
fwih majestic
grah flattering
brah arbitrary
bleh benevolent
ksuh consequential
sreh formal-register
pfah beneficial
droh auditory-evidential
flih inferential-evidential
sweh sublative-case
kseh declarative-mood
pleh privileged
psoh invincible
bo verbal
mwoh reverie
kleh wretchedness
glah greed
ru affirmative-mood
druh dissatisfaction
dyoh ideophone
syoh awed
zwih exessive-case
zlih irrealis-mood
xrah shyness
byih adaptation
qa pronoun-marker
txih frugal
kxah ecstatic
txah equanimity
gvih pegative-case
pxih vindication
vrah expiring
kxih contrition
pyoh prosecutive-case
qyah preoccupation
r6 participle
txuh remote-past-tense
xi historic-tense
dluh dual-number
sluh super
vweh overworked
n6 sensory-evidential-mood
bweh obsession
xrih hilarious
txoh twinge
tluh self-satisfied
tyoh motion-uphill
xe retrospective
pxah entrap
vwah motion-downhill
xlih elite
fleh inflected
psuh superessive-case
syeh satyr
qi transitive
xruh cower
zwah wow
tr6h motion-upriver
qwah unambitious
t6 intransitive
xlah anticlimax
xa current-relevance-marker
kxoh dog-tired
rwoh ordinal
ve vector
kyoh kilo
swoh sequential
s6 exponential
pxeh partitive-case
txeh augmentative
pyeh predicative
pxoh prolative-case
pfoh pro-phrase
fyih non-human
dleh modal-case
xroh coworker
xyah wear-out
blah blase
vi verb-affix
kxeh to-case
pc6h trial-number
vrih binary-value
greh centric-case
lu goal-trigger
myoh middle-voice
rweh oblique-case
xwah patient-case
xo prehodiernal
qlah star-gender
ks6h causative
gjeh else-if
ml6h multal-number
je finite-verb
gyih gnomic-mood
dvah lative-case
gjih galaxy-gender
lwoh locative-case
bvih abessive-case
dvih adessive-case
dveh agentive-case
ts6h trans-numeral
l6 agent-trigger
k6 common-gender
tfoh citation-form
va verbal-noun
ryeh direct-object
gveh ergative-case
jyih passive-voice
pfeh empathetic-joy
xyih primary-object
fwah possessed-case
zrih final-particle
vwih evitative-case
qlih mineral-gender
xleh vehicle-gender
nyoh actor-role
mleh animate-gender
bveh subessive-case
dyeh adverbial-case
tsa7h antessive-case
vlih universe-gender
jlih transitive-verb
bu absolutive-case
dreh second-language
qyih indirect-speech
kfeh past-perfective
jo impersonal-verb
tc6h self-confidence
sl6h crastinal-tense
fo different-event
qrah change-of-event
glih locality-gender
tfuh research-gender
y6 artistic-gender
sr6h abstract-gender
fyoh reflexive-voice
zreh exocentric-case
xwih collective-noun
xreh patient-trigger
ploh superlative-case
qrih inanimate-gender
p6 propositive-mood
kwoh associative-case
jrah electric-current
vyih reciprocal-voice
kfoh core-benefactive
preh planetary-gender
lyoh applicative-voice
lyuh successive-clause
ps6h antipassive-voice
gleh soon-future-tense
djah present-participle
qyeh single-action-verb
kwuh excessive-duration
gluh singulative-number
pfuh superlative-degree
sy6h existential-clause
ci7 luminous-intensity
ne_ necessitative-mood
ti_ continutive-aspect
pri_h passive-participle
si_ postpositional-case
f6 epenthetic-morpheme
ti7 connective-particle
tli7h remote-future-tense
ma7 amount-of-substance
ra7 frequentative-aspect
bvah distributive-pronoun
ky6h allocutive-agreement
tu7 floating-point-number
ki7 past-passive-participle
ta_ locative-directional-case
